sID,compensation,blocks,poorData,below90,age,gender,hand,normalVis,colourBlind,motionSick,exerciseHours,videoGameHours,drivingGameHours,drivingHours,computerHours,attentionBefore,energyBefore,attentionAfter,energyAfter,balanceAfter
171,Money,2,0,0,58,1,1,1,0,1,2,1,1,3,4,4,2,3,2,5
172,Money,2,0,0,43,0,1,1,0,1,4,1,1,3,3,5,3,5,4,5
173,Money,2,0,0,71,1,1,1,0,1,3,1,1,4,2,4,5,5,5,5
174,Money,2,0,0,69,1,1,1,0,5,4,2,1,3,3,3,4,3,2,3
175,Money,2,0,0,52,1,1,1,0,2,3,1,1,3,2,4,3,3,3,5
176,Money,2,0,0,40,1,0,1,0,1,4,1,1,1,3,4,4,4,4,4
177,Money,2,0,0,73,1,0,1,0,1,4,1,1,4,4,2,4,3,5,5
178,Money,2,0,0,62,0,1,1,0,1,3,2,1,4,3,5,5,5,5,5
179,Money,2,0,0,45,1,1,1,0,2,2,1,1,3,3,3,2,2,2,5
180,Money,2,0,0,41,0,1,1,0,2,3,2,2,5,5,3,5,3,5,5
181,Money,2,0,0,57,1,1,1,0,1,2,1,1,3,2,4,4,5,5,5
182,Money,2,0,0,66,0,1,1,0,2,3,1,1,3,4,2,2,5,3,2
183,Money,2,0,0,39,1,1,1,0,1,3,2,1,5,5,5,5,5,5,5
184,Credit,2,0,0,18,0,1,1,0,2,2,1,1,2,4,4,4,3,4,5
185,Credit,2,0,0,19,0,1,1,0,2,3,3,1,1,5,5,4,5,4,4
186,Credit,2,0,0,18,0,1,1,0,1,3,3,2,0,5,5,3,5,3,5
187,Credit,2,0,0,18,1,1,1,0,2,3,1,1,2,3,4,4,4,4,5
188,Credit,2,0,0,17,1,1,1,0,2,3,1,1,2,3,4,4,4,5,5
189,Credit,2,0,0,18,1,1,1,0,2,2,1,1,4,4,4,3,4,3,5
190,Credit,2,0,0,25,1,1,1,0,1,4,1,1,3,5,4,3,5,3,4
191,Credit,2,0,0,21,0,1,1,0,3,4,4,1,1,5,3,4,2,3,3
192,Credit,2,0,0,18,0,1,1,0,1,2,2,1,2,5,4,4,4,3,5
